Thu Apr 10 20:13:38 2025    output.prof

         354115 function calls (353583 primitive calls) in 0.266 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       38    0.000    0.000    0.000    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\core\numeric.py:415(count_nonzero)
      342    0.000    0.000    0.000    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\control\iosys.py:657(_process_dt_keyword)
       38    0.000    0.000    0.000    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\lib\twodim_base.py:366(tri)
     2117    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
     4190    0.000    0.000    0.000    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\core\multiarray.py:153(concatenate)
      217    0.000    0.000    0.000    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\scanner.py:295(save_possible_simple_key)
        7    0.000    0.000    0.000    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\parser.py:471(parse_flow_sequence_first_entry)
      114    0.000    0.000    0.000    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\control\iosys.py:141(_name_or_default)
     2830    0.000    0.000    0.000    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\scanner.py:264(next_possible_simple_key)
      152    0.000    0.000    0.000    0.000 {method 'dot' of 'numpy.ndarray' objects}
      798    0.000    0.000    0.000    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\control\iosys.py:692(<genexpr>)
   266/38    0.000    0.000    0.000    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\linalg\linalg.py:2826(_multi_dot)
        1    0.000    0.000    0.000    0.000 C:\Users\Tag\Desktop\RESEARCH\Gantry Crane Research\gantry crane\GantryCraneProject V24\src\simulation\simulator.py:242(print_results)
      685    0.000    0.000    0.000    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\reader.py:94(prefix)
     1600    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      861    0.000    0.000    0.000    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\error.py:6(__init__)
      228    0.000    0.000    0.000    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\core\shape_base.py:81(atleast_2d)
      281    0.000    0.000    0.000    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\scanner.py:125(peek_token)
      116    0.000    0.000    0.000    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\core\numeric.py:1855(isscalar)
       77    0.000    0.000    0.000    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\core\_ufunc_config.py:435(__exit__)
       76    0.000    0.000    0.000    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\core\numerictypes.py:357(issubdtype)
       38    0.000    0.000    0.000    0.000 C:\Users\Tag\Desktop\RESEARCH\Gantry Crane Research\gantry crane\GantryCraneProject V24\src\utils\lqr_handler.py:161(_regularize_matrix)
      582    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
       38    0.000    0.000    0.000    0.000 {built-in method scipy.linalg._matfuncs_expm.pade_UV_calc}
       20    0.000    0.000    0.000    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\parser.py:267(parse_flow_node)
      418    0.000    0.000    0.000    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\re\__init__.py:280(_compile)
        1    0.000    0.000    0.000    0.000 C:\Users\Tag\Desktop\RESEARCH\Gantry Crane Research\gantry crane\GantryCraneProject V24\src\visualization\visualizer.py:31(__init__)
      458    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
       38    0.000    0.000    0.000    0.000 {built-in method scipy.linalg._matfuncs_expm.pick_pade_structure}
     2000    0.000    0.000    0.000    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\core\fromnumeric.py:2096(_clip_dispatcher)
       76    0.000    0.000    0.000    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\core\numeric.py:203(ones_like)
      154    0.000    0.000    0.000    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\core\_ufunc_config.py:132(geterr)
      154    0.000    0.000    0.000    0.000 {built-in method numpy.arange}
     1217    0.000    0.000    0.000    0.000 {built-in method numpy.asarray}
        1    0.000    0.000    0.000    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\core\arrayprint.py:1595(_array_str_implementation)
        1    0.000    0.000    0.000    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\core\arrayprint.py:561(array2string)
     1330    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       38    0.000    0.000    0.000    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\scipy\linalg\lapack.py:1004(_compute_lwork)
       76    0.000    0.000    0.000    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\linalg\linalg.py:159(_commonType)
        1    0.000    0.000    0.000    0.000 <frozen os>:200(makedirs)
      114    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.generic' objects}
      208    0.000    0.000    0.000    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\yaml\constructor.py:173(construct_scalar)
        1    0.000    0.000    0.000    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\core\arrayprint.py:506(wrapper)
       38    0.000    0.000    0.000    0.000 {method 'sum' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _io.open}
     2114    0.000    0.000    0.000    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\core\shape_base.py:19(_atleast_1d_dispatcher)
       38    0.000    0.000    0.000    0.000 {method 'any' of 'numpy.generic' objects}
       38    0.000    0.000    0.000    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\core\shape_base.py:219(vstack)
        1    0.000    0.000    0.000    0.000 C:\Users\Tag\.conda\envs\GantryCrane\Lib\site-packages\numpy\core\arrayprint.py:523(_array2string)
